项目标题,总价,描述,工时,投标人数
IOS/Android工程师,60000,"项目描述：
某公司需要将目前的工作流程向便捷化、移动化方向发展，并决定采用APP的平台方式。
需求描述：
1.按照客户需求完成移动端（APP）建设。
2.根据项目要求会有驻场要求的可能性，需要在客户现场完成开发测试部署等工作。
3.需要能够独立完成从APP架构搭建、部署上线等全流程开发工作。",30,48
IOS/Android,60000,"项目介绍：
某公司需要将目前的工作流程向便捷化、移动化方向发展，并决定采用APP的平台方式。
需求描述：
1.按照客户需求完成移动端（APP）建设。
2.根据项目要求会有驻场要求的可能性，需要在客户现场完成开发测试部署等工作。
3.需要能够独立完成从APP架构搭建、部署上线等全流程开发工作。",30,40
微信公众号（H5）,3000,"将原来的基于JAVA借口制作的前后端分离的系统更换为PHP+MySQL 可以提供源代码，需要提供SQL server 和 MYsql 同步工具

微信图书馆改版需求

微信图书馆是以公众号（H5）方式发布，用于读者查询图书馆内馆藏信息，办理预约和续借功能等。
目前我公司已经开发了基于JAVA 的前后端分离的JAVA 系统，功能已经实现。目前需要对本系统进行改版，改成PHP+Mysql的部署方式。基本功能不变。
如果有需要我们可以提供JAVA部分的系统源码。



基础模块
（1）MySQL 数据库。
数据库信息通过SQL Server 同步（提供SQL Server 数",6,33
京东快递物流中介系统,5000,"和京东快递对接，实现下单分配计费。现在找人优化，批量下单和内部计费逻辑。现在系统是用java,toop框架开发的，未来有些特殊功能我还没有想明白怎么技术实现，找个快递仓储物流方面的程序员合作一下。",10,22
微信小程序需求更新,1000,"1、ipad平板电脑打开视频的适配问题：⽆法全屏播放视频。界⾯不协调。
2、点击课程“⽴即学习”，进⼊课程⻚后，需要默认先进⼊视频的⽬录⻚。
3、点击课程⻚的“分享得⾦币”，需要直接导向分享好友⻚⾯，不需要⽣成海报。不需要出现下图2的界面。
4、⾸⻚5个按钮，在最右加⼀个“排⾏榜”按钮，从“我的”-“考试排⾏”迁移过去，
5，另外，“考试排⾏”打开时，需要能够⾃动对应⾸⻚所选的认证。
6、激活码⻚⾯需要重新更换。不需要改变功能
7、个⼈信息⻚⾯中，“切换科⽬”需要去掉。
8、收藏夹的题⽬需要增加“删除”功能。
9、右上⻆关闭⼩程序后，视频的只需要“声⾳”能够后台播放即可。（不是",2,31
手机端股票行情查询项目,12000,"一、手机端查询金融行情，合理展示。
二、用户需要登录

凑字数凑字数凑字数凑字数凑字数凑字数凑字数凑字数凑字数凑字数凑字数",15,29
shopify独立站前端插件+后台系统,10000,"一、需求描述
类别：shopify独立站 引导留评弹窗插件
进度：独立站已建好，是用的付费模板，需建立个插件进行二次开发
功能：在独立站做个弹窗插件按钮，引导客户在亚马逊留下评论，同时需要收集客户信息，以及给予客户相应的福利特权。同时要建立一个后台系统，作为收集客户的仓库以便做后续营销，和设置相应的流程框架，以及可以导入亚马逊订单的功能等等。

二、人才要求
三年以上系统开发人员，有shopify建站经验优先，深圳地区优先


四、合作方式
开发方式：远程开发
开发周期：5-10日",10,8
易语言代码转换EX_UI,500,"一、成品易语言代码.想美化界面变成EX_UI.相关功能代码需要转换
本人有现有EX_UI界面大框.需要一天时间内完成.请会ex_ui的联系我。",1,3
找个熟手前端vue,500,"1：1 copy一个网站https://bt105.xyz/。

一共四个页面，两个后台接口。

有部分js逻辑。

要求pc移动端自适应。

我提供接口文档和logo

价格五百，能做的联系。",1,78
python  操作 CHROME,1000,"python  操作 CHROME
熟悉  利用 python   运行CHROME 的方面
修改己有代码的软件   不能运行的地方 更新POST  XPATH的东西方面
接单后 要  2 -3 天 修改完成  不要拖拖拉拉的人",2,23
钉钉人员组织架构同步,5000,"1.需要定时同步人员部门至华炎魔方系统
2.订阅钉钉通讯录事件，当钉钉人员或部门作出修改时，需同步至华炎魔方系统，包括新增、修改、删除
用户
新增：钉钉新增用户后触发事件，同步往华炎魔方系统创建该用户信息
修改：钉钉修改用户信息后，同步更新华炎魔方系统中的人员信息
删除：钉钉停用并删除人员后，同步停用华炎魔方中对应的账户
部门
新增：钉钉新增部门后触发事件，同步往华炎魔方系统创建该部门
修改：钉钉修改部门信息后，同步更新华炎魔方系统中的部门及该部门下所属用户的部门信息
删除：钉钉删除部门后，同步删除华炎魔方系统中的部门，删除部门时需要判断该部门下是否还有用户，有用户则将华炎魔",10,
民宿PMS对接第三方民宿平台,500,"一、需求描述：
1、携程酒店、飞猪、美团酒店、小猪、美团民宿、途家、booking等平台的对接，实现在一个PMS系统中同时管理多个平台房源
2、分析调试平台接口，验证识别，加密算法模拟等，读取房源、修改价格、房态、库存，实时抓取订单、消息等。

二、人才要求：
1、高级或资深
2、工作5年及以上
3、每天有2~3小时工作时间

三、参考产品：
宝寓、白居易

四、合作方式：
兼职，工作日2~3小时，周末全天",1,17
GA-BP 实验代做,1000,"代做PCA- GA -BP,  PCA-BP ,BP预测实验，有数据集，最好在一天内做好，价格可以商量，可以沟通，很急。很急",2,4
微信小程序积分商城JAVA代码和调优,3500,"1、微信小程序积分商城后端代码
2、商城数据库
3、代码调优
4、公司产品线比较简单，需要一名JAVA开发人员，驻场进行开发，工资可以采取日结形式。",7,24
前端开发工程师,3000,"1.3年以上前端实际开发经验
2.熟练使用uniapp进行项目研发
3.uniapp实际项目经验不少于2个
4.熟练使用前端技术css,html,js,等等
5.有良好的项目编码规范能力",6,29
控制网络分析仪保存数据,4000,"1.需求描述：通过程序控制网络分析仪N552X系列，在固定时间对测试界面进行相应操作，替代人为手动点击界面，保存数据
2.需要工程师有仪器控制的经验，推荐使用python，其他语言也可以",5,10
图片社区类小程序,800,微信小程序开发。小程序性能优化，熟悉taro框架。有做过大量图片处理经验优先。可以长期兼职，非整包项目。以上符合请联系。,1,31
客户端接口逆向,1500,1. MAC/windows客户端能够对某个字段进行加密，然后通过接口请求，接口能够轻易抓到，接口未加密，只是单独字段加密。需要对该字段能进行解密和修改后重新加密,1,
医疗记录批量下载,1600,"医院使用的是BS-EMR5.5 (BS-WISS5.5) 病例管理系统，现在想批量下载病人数据。平台网址http://www.bsoft.com.cn
诚邀有经验人员联系。",2,29
PHP后端工程师,24000,"岗位内容
1、负责php后端代码编写，能独立完成开发任务
2，设计技术方案，表设计，性能调优


任职要求:
1，大专以上学历，3年以上php互联网相关项目开发经验
2，熟悉使用php，熟练运用mysql数据库及查询优化技巧，熟悉Linux+nginx环境
3，熟练运用thinkphp框架进行程序开发
4，熟悉memcache、redis、消息队列
5，了解swoole框架，有高并发服务设计和实现经验值优先
6，理解oop编程思想，mvc三层架构，良好的编码风格和习惯，要求结构清晰，命名规范，逻辑性强，代码冗余低
7，有做过区块链相关业务的优先考虑
8，能独立完成领导",30,40
阅读类移动端应用,1000,"1.需求
产品类别：阅读
开发进度：无
功能：利用静态网站的资源开发一个APP
技术：不明，但期待同时满足iOS和Android

2.参考产品
维基百科APP

3.人才要求
精通移动端开发。思维活跃，能提出多种可能方案。

4.说明
我看到一个网站(https://www.marxists.org/chinese/). 以静态内容为主. 这个网站没有移动端. 在手机上使用有诸多不便. 所以我要利用这个网站的内容做一个移动端的APP. 希望能够快速确定方案. 所以想咨询一天. 了解可能得方案思路, 以及不同可能方案的优缺点.",1,
创业项目MVP开发寻求兼职或全职全栈工程师,15000,"教育行业初期创业团队，目前处于MVP开发阶段。项目用到的技术栈也比较简单，主要是React (NextJS), JS, Python, Azure, 和ArangoDB。目前，寻求兼职或全职全栈工程师。

职位描述
精通JavaScript/H5/CSS
熟悉或能快速上手基于NextJS的React Web App开发
熟悉Arangodb的设计和查询
有前后端视频处理经验者优先
能够独立远程工作并尽可能自行解决问题，主动提供解决方案，能接手现有代码并重构
工作时通过即时聊天工具和团队进行及时沟通
熟悉Agile开发模式，有经验者优先
有较强的英语阅读能力者优先
工作形式",30,20
andriod,600,"解决Android app问题，优化app。
现在在部分机型上不能长驻。总是自己挂掉。

一是做兼容机型长驻
二是尽量省点。
三是长驻体验优化，现在长驻有时候自动跳出来。",1,16
vue前端开发,2000,有3-5年前端VUE开发经验，主要做内部核算系统的前端，框架已经搭好，项目地在北京，可远程可驻场（驻场包吃包住）有工期要求，期待各位大牛加入！,2,83
java/c语言全栈工程师,7500,1.使用java和c语言开发2.这是一个平台，要实现入驻企业端和员工端，每个入驻企业都有一个独立的系统。3.这是一个发薪系统，支付方面使用银行支付系统，需要和银行程序员对接。4.功能方面，涉及到无卡发薪、日薪、周薪、月薪、考勤➕考勤风控、电子合同、工资单、信息采集功能,15,32
java/c语言全栈工程师,45000,1.使用java和c语言开发2.这是一个平台，要实现入驻企业端和员工端，每个入驻企业都有一个独立的系统。3.这是一个发薪系统，支付方面使用银行支付系统，需要和银行程序员对接。4.功能方面，涉及到无卡发薪、日薪、周薪、月薪、考勤➕考勤风控、电子合同、工资单、信息采集功能,90,
R package开发debug和打包,2400,"一、需求描述
本人基于现有R包开发了一个小的聚类改进算法，有6个主要R程序，在本地可以运行，但是在打包过程遇到困难。基于roxygen2开发的，程序注释已经写完。例子数据也准备好。目标是开发github能安装的R包，当然如果可以在CRAN上通过更好。几个程序不大，一共不超过1000行，主要依赖ConsensusClusterPlus包。个人怀疑是R包的环境设置问题，需要补充。

二、人才要求
有R包开发经验者优先，程序中涉及到聚类和随机抽样过程。或其他R语言专业人员。

四、合作方式
本项目预期将发表科研论文，可以付费或者合作发表。另有与生物信息分析人员、软件开发人员、数据展示工",3,2
使用opencv算法实现图片中昆虫个数的识别,500,"使用语言：python
提供要识别的图片，针对不同类型的图片识别个数的准确率达到80%。
开发前请先和我沟通具体情况和费用。",1,13
前端展示优化,2500,"金融计算类网站，15个页面左右，后端开发已经完成，前端开发已经基本完成，需进一步优化。
项目后端是Python，前端目前是HTML, Jquery，图示采用echarts. 请看清楚要求和预算再投递简历。

前端优化内容包括：
1：按照所提供的修改文档对现有页面进行布局和颜色的微调
2：对接后台接口，在前端实现会员注册和登录功能
3：对接后台接口，在前端实现用户文字提问和回复功能
4：对接后台接口，在前端实现用图文上传和知识百科增添功能
5：压缩图片，提升网站访问速度
6：前端代码文档，包括代码结构和维护指引
7：针对不同浏览器进行测试，协助在服务器部署代码
8：优化现有",5,45
uniapp原生插件开发,800,"uniapp原生插件开发
开发流程：
1，下载uniapp的离线SDK
2，接离线SDK导入Androidstudio原生开发工具中。（该SDK的作用就是让uniapp可以直接调用安卓的方法）
3，下载一个第三方的SDK，并集成在项目中。在uniapp的SDK中创建新的module，module中用原生语言JAVA写调用第三方SDK的方法。
4，调试代码，全部方法测试过是通的后打包成AAR或者JAR
5，配置package.json文件
6，给到我们在xhuilderx中测试",1,14
优化网页,500,"一、需求描述：
类别：网站优化
进度：已有基础信息
功能：动态消息显示，网站的优化

二、人才要求：
3年以上前端开发经验，熟悉html、css、js


四、合作方式
开发方式：远程开发
开发周期：1天",1,83
社交即时通讯类APP UI设计,8000,"需求描述：社交、即时通讯类APP已有产品原型设计，现在需要根据用户需求设计APP全套UI、主页面&一级页面12个、二级&三级页面45个、启动图(海报)、头像框、聊天气泡、IP形象（logo、动画形象、表情、动作、无内容反馈页等），UI界面有动画效果，参考Yami（自行下载）。
人才要求：3年以上APP UI设计工作经验，设计独特吸引眼球、创意新颖、有自己的想法和见解，能够独立完成全套APP UI设计工作。
开发方式：远程开发。
开发周期：15~20天。",16,
前端 uniapp 开发，管理后台vue,3500,"需要多个前端，主要为uniapp开发微信小程序，
vue后台管理页面，希望有2年以上经验，可以半全职，周一到周五工作时间可以随时联系上的",7,
WebRTC项目优化,500,"项目要完成优化如下功能: 

要求如下:

1.已经做过WebRTCp2p数量掌握RTC库的所有方法调用使用有一定的C++ C基础 有信誉 对项目有责任心

项目能如期完成 .做过关于回声处理和编解码的请投.

2. webRTC AEC 回声消除功能实现 

3. webRTC实现硬编码H264或者H265",1,3
电商类商家后台app （React Native/ 原生）,28800,"电商类商家后台管理app

要求：
成熟团队
已有电商开发经验 项目案例
可使用混合开发 (React Native)/ 原生
会开发接口Api  熟练nodejs express框架

需求
- 设计ui
- 添加产品/修改产品信息
- 处理订单： 更改状态，处理缺货，发货
- 修改商户信息
- 简单的统计信息：营业额/最佳销售产品等
- 需要有btob项目经验/可处理多种sku
- 需要提供部署
- 后端api已有架构项目（nodejs express），更新接口添加应用内需要的功能
- 可阅读英文文档",32,27
python后端开发，前端工程师,500,懂django的，有两个页面需要写，懂前后端交互的来，会写前端html，css，js的。很简单，会Ajax的，任务不多。,1,
Python 卷积神经网络算法开发 图像识别,2000,热相图处理，寻找图中高温点标识出来，对选定区域进行计算，将温度与尺寸建立定量关系，进行机器学习，训练。需要用到快速区域卷积神经网络。,4,10
React 管理员控制台WebApp,24000,"职责：
1. 将现有的React JS前端web app解耦合，把大JS文件分离成逻辑清晰的小组件，分离服务调用层和展示组件
2. 与项目负责人沟通，从页面展示中理解需求，并实现新的页面、布局，
3. 与后台协作，完成操作交互、数据展现
要求：
1. 擅长 React, JavaScript/Typescript 语言，掌握 ES6+，熟悉css
2. 了解GraphQL，antDesign, HighCharts更优
3. 有UI/UX设计经验、较好的英文阅读能力更优
4. 需要能翻墙（web app后端架设在AWS上）
5. 5年以上开发经验
时长：1-3个月
预算：",30,
IOS项目环境调试运行,500,现有一份IOS项目源码，无法在xcode12内运行起来，应该是环境问题，需要专业人员远程调试配置下环境，让其能在模拟器里运行起来，且能编译出IPA包,1,34
php研发工程师,4000,开发商城系统小程序和app的后端和接口，使用uniapp编译称两个端，代码要规范，有相关的工作经验。能够及时响应。有责任心，工作能力强的来，表现优秀后续可考虑长期合作。项目长期都有,8,55
PYTHON对数据集的聚类和评估,500,"主要任务是对两个数据集应用不同的聚类方法，并找到具有最佳参数的最佳模型。在此分配中，您应针对每种聚类方法至少使用两个不同的聚类评估/验证指标，并介绍和解释评估结果。

To apply different clustering methods on the two datasets and to find the best model with optimal parameters.
You should use at least two different clustering evaluation/validation metrics for each clustering meth",1,10
想做一个穷举七星彩和排列5位置的工具,800,"1、根据输入期数从中国体育彩票网抓取数据并填入表格1；
2、清空表2，根据输入位置个数（如2,3,3,3（类似复式投注））建立矩阵
（ 0,1     ）         （第三步穷举0，1至8，9）              （ 8,9     ）
（ 0,1,2  ）         （第三步穷举0，1至7，8，9）         （7，8,9）
（ 0,1,2  ）         （第三步穷举0，1至7，8，9）         （7，8,9）
（ 0,1,2  ）         （第三步穷举0，1至7，8，9）         （7，8,9）
3，开始穷举矩阵，验证表",1,13
指导强化学习,2500,"一，需求描述
类别：指导强化学习各类算法的应用，包括常用算法，多智能体算法等，具备搭建环境的能力。
进度：目前已经有一定的理论基础，能跑一些小的算例。
二，人才要求
需熟悉强化学习内容，能提供框架或熟悉Rllib框架，有指导过强化学习的人优先
三，合作方式
远程指导，具体时间与价格可商议",5,
区块链钱包开发,1800,"1、完成官网开发
2、包括乐透，staking等模块
3、链接metamask钱包，实现钱包转账功能
4、熟悉智能合约开发。",3,12
高校社团管理系统,1000,"做毕业设计的，满足基本功能即可。写Javaweb,src里面写Java的代码，webcontent里面写前端的代码，数据用数据库连接前后台。不要最新的技术，这样会被看出来。学生写的那种。一共1000元，包括跟我说一下思路，不然我不会写论文。代码不懂什么意思的跟我说一下，哪个功能对应哪个模块的。
希望时间比较多的，不要写完项目找不到人，这样我不好写论文。
虽然看着要求很多，但是实际上只要写个项目加上答疑就好了",2,
医疗设备应用软件优化和维护,6000,"1. 需求：
对干式荧光免疫分析仪设备应用软件进行优化和维护；
2. 人员：
熟悉再linux平台下使用C++进行开发，熟悉QT开发环境；
3. 项目：
干式荧光免疫分析仪，目前已有第一版软件（包含源代码），需要对软件中的一些新功能进行设计和现存问题进行维护和优化；
4. 参考产品：
https://www.wondfo.com.cn/Product&service-158.html
5. 合作方式：
远程开发为主+偶尔驻场（长期合作，合作顺畅情况下可持续有多个项目进行合作）",10,11
计算apk大小的工具类的插件,6400,"写一个计算apk大小工具类的插件 
在我们的代码仓里面加一个安卓CI/CL的工具 用kotlin 在gradle里面加检测apk 大小的任务 连GitHub action 每次安卓程序员上传到github 就可以检测安卓apk的size的大小增加了多少

主要用到的语言有kotlin/python
需要熟练掌握kotlin和python 有至少三年安装开发经验",8,6
业务合伙人,90000,"寻找创业合作伙伴。
1.工作内容：负责公司软件开发、android App开发、电子产品开发业务。新客户及潜在客户的开拓，并维护客户关系。
2.工作方式：不用坐班，兼职方式。
3.不限学历。
4.长期有效。",90,57
网站制作和手游sdk接入,3000,我这边需要做一个手游联合运营的网站，不要盒子。目前有游戏开发商合作的意向了。需要做安卓和ios的sdk接入，只要做自己平台的接入就可以。,6,8
手游sdk,3000,需要做一个手游联运平台网站，安卓和ios的sdk接入游戏，价格不高，不懂技术，能做得就做吧，做不了的勿扰，谢谢，非常急用,6,
React软件研发工程师,63000,"一、需求描述：

类别：社交类网站开发
进度：已经有能运行的产品，前台后台，需要开发新功能和维护
功能：兴趣类社交产品，实现用户以兴趣标签进行聚合和交流的功能。涉及用户登录注册、兴趣标签、IM消息推送、帖子模块、个人中心以及管理员后台系统
技术：React Native，Node，Express

二、人才要求：

2年以上React开发经验

三、参考产品：
交友类app
陌陌（http://www.immomo.com/)
探探 (http://tantanapp.com/)

四、合作方式：

开发方式：远程开发。
开发周期：6个月",90,30
移动端开发一个离线语音识别,800,"移动端开发一个离线语音识别  识别度可以不像专业的那么好  但是大概能识别出来就行了
移动端开发一个离线语音识别  识别度可以不像专业的那么好  但是大概能识别出来就行了",1,21
制作一个 离线的语音识别,800,"制作一个 离线的语音识别
制作一个 离线的语音识别
制作一个 离线的语音识别制作一个 离线的语音识别
制作一个 离线的语音识别

制作一个 离线的语音识别",1,15
React软件研发工程师,63000,"一、需求描述：

类别：社交类网站开发
进度：已经有产品文档、原型图、UI，需要技术开发。
功能：兴趣类社交产品，实现用户以兴趣标签进行聚合和交流的功能。涉及用户登录注册、兴趣标签、IM消息推送、帖子模块、个人中心以及管理员后台系统，需要技术人员将这些模块进行实现。
技术：React Native，Node，Express

二、人才要求：

2年以上React开发经验

三、参考产品：
交友类app
陌陌（http://www.immomo.com/)
探探 (http://tantanapp.com/)

四、合作方式：

开发方式：远程开发。
开发周",90,
销售管理,7200,"一、需求描述
1.    客户增删改查
2     商机增删改查
3. 合同增删改查
二、人员要求
1	计算机相关专业，本科及以上学历；
2	3年及以上Web前端开发经验，熟知软件开发流程；
3	熟练掌握HTML/CSS/HTML5/CSS3/JavaScript前端技术；
4	熟练掌握JQuery，Bootsrap框架，响应式布局；
5	熟练掌握React框架；
6	熟练掌握SPA页面原理；
7	熟练掌握一种前端构建工具（如 gulp、grunt、webpack）；
8	对于PC和移动端Web开发有丰富的经验；熟练掌握样式，布局，动画，事件处理，兼容性；
9	熟练掌",12,
小程序布局优化,5000,以开发好的小程序     界面 不是很满意   需要再次优化    在基础功能不变的情况下   优化视觉界面！,5,83
ERC 721 标准合约开发与部署,5000,"平台需要一个以太坊智能合约部署在主网上，支持创建和交易erc721标准的token
 
需要的开发人员背景：
熟悉区块链及其愿意，熟悉以太坊智能合约开发，熟练solidity以及特定标准协议（erc20,erc721,erc1155），熟悉接口开发及Web3.js前端接入。有类似的项目经验。",5,
Airflow跑批与项目私有化部署,7000,"主要任务描述

配合Web端应用开发工程师，实现部分业务的Ariflow任务调度、跑批。

Airflow 任务主要包含三个方面：

文件上传：
airflow里面创建 文件上传 DAG，里面包含1个task，写k8s 的job yaml 并运行 调用OCR的docker image（现有离线镜像）进行计算，并且监控任务状态，任务进度。任务完毕或者失败后更新相应的状态。

场景初始化：
airflow里面创建 场景初始化 DAG，里面包含1个task，写k8s 的job yaml 并运行 调用NER的docker image（现有离线镜像）进行计算，并且监控任务状态，任务进",7,
直播app交友app开发,72000,需要开发一款交友直播类app，有成功运营中的案例最好，已准备好开发要求。期待遇到技术大神长期合作，后期需要长期更新与维护。坐标郑州,90,43
微信视频号爬虫,2000,"一、需求描述：

类别: 微信视频号爬虫

二、人才要求：

3年以上Python 逆向开发经验，熟悉frida框架，有逆向开发经验者优先。

三、合作方式：

开发方式：远程开发。
开发周期：2天",2,7
H5页面交互设计,10000,"H5交互设计相关需求

一 线下门店
加盟我们Banner（点击后跳转到提交表单页面）
附近+筛选+智能排序+列表
显示专卖店+授权店


二 我是宇航员（即会员操作中心）
1. 注册/登录页面
2. 宇伞行动 身份证+刷脸进行实名认证 
3. 宇航员计划  首次购买成功后，自动激活宇航员身份。注册后，尚没有购买的，宇航员身份处于待激活状态。宇航员页面显示你的上家（我的领航员）是谁（上家手机号必须是系统里注册的会员手机号，并且有过购买记录），你的下家（我的宇航员）是谁。宇航员的相关信息（头像、昵称）可自由编辑，未编辑的情况下，自动提取微信头像和昵称。
4. 营销场景描述",5,29
C++ 程序员,500,"限时测验135分钟 时间5.27 12:30-1530
需要有一些英语基础(熟练有道截屏也可)
思维灵活 编程迅速
时间短 时薪接近250元
如果有把握薪资可以进一步提高
尽快联系",1,7
懂前端项目高手,500,"前端项目，要求会python. js. ajax. 用flask框架做网站，懂前端和后端交互。
简介: 一个可以上传各种数据例如csv. excel等的网站，上传完后要求用ajax post blob来储存数据。然后后端，python端用ajax获取这些数据，并且把他们转换成json格式，然后回传到js端。最后用datatable来可视化。还有下载文件，点击下载，就可以把数据csv下载到本地。这个项目已经做完一半，从前后端传输往后的代码需要实现。有半成品源码. 需要继续我的部分接着写。",1,
产品经理-小程序新增功能线框图及功能说明,500,"1，为一个社交类微信小程序，增加名片功能，名片交换，好友，消息功能
（可参考其他平台，例如脉脉，领英等其他职业人脉社交平台）
2，本小程序原已有功能，可查看UI，根据现时UI继续拓展以上功能
3，原型图只需输出线框图即可，无需制作精细的原型图
4，原型图需有功能说明，无需另外输出PRD，如果可以输出
UI地址及线框图输出效果",1,28
web管理后台类项目 java开发,30000,"会议管理，会议发布、资料管理，第三方云会议系统对接；
SpringBoot + Vue开发，对接webex等第三方系统。",60,120
WHMCS云交易系统前端页面开发,4000,"WHMCS是广泛运用的在线交易管理系统，整体系统采用PHP+MYSQL架构开发

目前需求制作一款契合公司需求的前端页面模板，需适配部分正在使用的功能插件等

需要开发者具备PHP、HTML、CSS等基础",5,24
如梦之梦抢票脚本,2000,"求保利票务如梦之梦抢票脚本，带成功率和报价来。
求保利票务如梦之梦抢票脚本，带成功率和报价来。
求保利票务如梦之梦抢票脚本，带成功率和报价来。
求保利票务如梦之梦抢票脚本，带成功率和报价来。",1,4
跨境电商ERP,30000,"产品管理，产品发布、订单管理，物流授权对接，会员管理
对接shopify等国外电商平台，分为平台端和零售端。
使用SpringBoot+iVuewUI开发，对接了shopify、云途物流等第三方平台。
参考产品：
店小秘，基本功能是店小秘这样，需要在这基础上增加会员管理财务功能",60,
后端开发工程师,1000,"实现功能
当用户触发某个操作后，建立企业微信群，并且把群二维码
返回给前端
场景描述：我们是一个组队类型的小程序，用户创建队伍后就相当于创建了一个群，当有人加入的时候，我们就推送这个群的二维码给他让他扫码加群
群里固定两个我们自己工作人员，群的名称和欢迎语代码自定义生成",1,
研发工程师,2400,"一. 需求描述:
安卓电视端程序，通过wifi接收按键和触摸位置等指令，并作相应操作，有一定兼容性。

二. 人才要求:
有相关经验，熟悉安卓开发。

三. 参考产品:

四. 合作方式:
开发方式: 远程开发",3,
AutodeskCFD 传热和流体流动分析,2000,"AutodeskCFD 传热和流体流动分析培训
Autodesk CFD软件介绍

Autodesk CFD三维模型准备

Autodesk CFD仿真前处理

Autodesk CFD仿真后处理

软件高级设置

Autodesk CFD进阶功能

日照辐射

热舒适度

焦耳热

湿度

冲蚀

空蚀

两相流混合

标量混合

烟雾能见度

可压缩流

自由液面

建筑行业应用

机械通风

风载荷

自然通风

AEC应用

热交换器

照明行业应用

电子散热应用

涡轮机械应用",2,1
找团队,500,1.本人C#工程师，前端工程师 。想找一只团队，只支持远程或重庆业余时间如晚上，周末！或无偿类开源框架开发，有低代码经验 后端：MVC4、.net framework 、.net core 、Ado.net 、mysql、sqlserver、redis、。前端：jq、小程序、react-native、node、EasyUI。有产品开发思维与逻辑，只想在业余时间积累丰富的经验或零钱。,1,21
Odoo 14社区版ERP开发,25000,"Odoo 14 社区版 ERP 开发

1. 3年以上Python/Odoo开发经验，精通Python编程，掌握Python的高效写法；
2、熟悉Odoo框架，了解Odoo使用的基本Python库，能熟练的对Odoo (OpenERP)进行二次开发的优先考虑；
3、熟悉JavaScript，熟悉Linux操作系统，熟练掌握Shell脚本语言；熟悉使用git等代码管理工具；
4、熟悉PostgreSQL数据库，能熟练编写sql语句；
5、有HTML 5, CSS 3前端开发经验者优先；
6、具备大规模高并发访问的服务集群架构设计和开发经验者优先；",50,9
检测IOS 客户端,500,"需要一名专业 检测IOS客户端程序  经常遇到闪退现象  可远程办公！
需要一名专业 检测IOS客户端程序  经常遇到闪退现象  可远程办公！
需要一名专业 检测IOS客户端程序  经常遇到闪退现象  可远程办公！",1,28
手机编程师,500,可以解密手机字库。对字库用编程器进行编程，使程序正确，可以读取字库中的资料。将字库安装回手机可以实现资料恢复。目的就是将丢失的程序重新编写，可以提取字库中的文件资料。,1,
微信小程序支付接口,500,"制作一个微信小程序在线支付的DEMO，实现微信在线支付和支付宝支付
1. 前端使用UNI-APP
2. 后端使用Python Flask",1,14
社交app，完善第三方支付，支付宝和微信支付,1800,"开发语言swift， 支付流程如下；
1. 用户输入支付金额，点击确定；直接跳转到支付宝或微信支付
2. 若支付成功，则显示详细信息，如支付账号，支付金额
3. 若支付失败，则显示错误信息
4. 后台需要两个功能，第一个，可查看所有支付信息，第二个，管理者可向用户一键转账

（项目用时和金额，请工程师自行判断，后期也有可能进行其他合作！）",3,24
区块链全栈工程师,4000,功能类似https://app.uniswap.org/#/swap可以绑定钱包，让客户用钱包里的eth或者usdt转换成我们发布的token,2,4
solidity,6000,"前端类：javascript， html ，css， vuejs + cordova + quasar ，开发经验3年左右，区块链dapp类：solidity，另外，熟练使用web3, etherjs",4,8
JAVA程序员,500,"我的世界国际服（JAVA）版，由于该游戏运行时只利用CPU单线程，希望操作游戏时能够实现多线程运行。
希望在编好程序后能够上门操作，目前游戏版本为1.12.2。",1,13
视频采集卡,2000,"需求：java开发，获取视频采集卡采集到的视频画面，并截图保存到本地，目前硬件有配套软件可支持查看视频画面，需要脱离软件获取视频画面。
设备参考（可选用其他同功能产品）：https://detail.tmall.com/item.htm?spm=a230r.1.14.1.69c122c7QB95nm&id=630129985636&ns=1&abbucket=1
验证流程：部署后，根据配置文件内设置的时间间隔，在本地指定文件夹生成采集到的视频文件和截图图片，时间间隔暂定60s。",2,
微信端H5页面升级开发,8000,"一、需求描述：

类别：微信端H5页面升级开发
进度：已经有产品文档、原型图、UI，需要技术开发。
功能：对已有的微信端会议室预约系统升级开发
技术：Javascript语言开发，基于React框架。

二、人才要求：

3年以上React开发经验，有手机端H5，微信公众号小程序开发经验者优先。

四、合作方式：

开发方式：远程开发。
开发周期：5-10天",10,
汽车产品及商情分析系统（java&reactjs）,90000,"一、需求描述：

类别：数据分析类B/S系统开发
进度：已经有产品文档、原型图、UI，需要技术开发。
功能：面向汽车行业专业用户，提供汽车产品（车型配置）分析、商情（车型价格、销量、商务政策）分析。目前已有一套基于.Net平台用C#语言开发的系统在线运行，经过多次迭代，采用了不同的技术栈，目前部分功能体验较差，二次开发和运维升级成本较高，所以决定立项重构此系统。 该系统有以下特点： 1、功能偏向于数据分析，数据量比较大（单表3000万-2亿左右），但系统并发不高（50以内）； 2、同一套数据，不同用户可使用不同的自定义字段来进行查询、分析； 3、要求系统对用户的权限设定比较灵活； 4、",90,77
joomla 搭建的网站  页面开发,1600,"用JOOMLA搭建的网站，不定期的会制作专题，需要根据美工设计，将页面以模板或模块的形式建成并发布。

要求： 熟悉Joomla使用
           熟悉mvc框架
           熟悉PHP
           熟悉HTML  CSS  JS 页面前端技术",2,11
